index	race	incar
14922	White	1
6439	White	NA
17075	White	1
9531	White	1
11686	White	1
20506	White	NA
4302	White	1
18750	White	NA
22830	White	NA
3358	White	NA
17475	White	1
15675	White	NA
8573	White	NA
2394	White	1
7314	White	1
4328	White	NA
17743	White	NA
9194	White	1
8550	White	NA
7606	White	NA
17711	White	1
21713	White	NA
1578	White	1
3462	White	1
19151	White	1
12194	White	NA
17751	White	NA
3232	White	1
11324	White	1
7268	White	NA
4919	White	1
13822	White	NA
7884	White	NA
16867	White	1
19044	White	NA
1507	White	1
12317	White	NA
22486	White	1
9134	White	1
18297	White	1
484	White	NA
16778	White	NA
20313	White	1
22235	White	NA
14698	White	NA
10332	White	1
5997	White	NA
20101	White	NA
13455	White	1
10722	White	NA
9628	White	NA
17767	White	1
14233	White	NA
10184	White	NA
5951	White	NA
15075	White	NA
14406	White	NA
11267	White	NA
20306	White	NA
5459	White	NA
22993	White	1
19149	White	NA
10275	White	NA
20799	White	1
6854	White	NA
14957	White	NA
2210	White	NA
5010	White	NA
18811	White	NA
1182	White	1
20166	White	NA
18698	White	1
16617	White	1
4644	White	NA
15228	White	1
5582	White	NA
13512	White	NA
7573	White	1
16776	White	1
19755	White	NA
8600	White	NA
15594	White	1
1472	White	1
4079	White	NA
12202	White	NA
12373	White	1
4600	White	1
15751	White	NA
19497	White	NA
4122	White	NA
5272	White	1
22070	White	NA
11297	White	NA
14765	White	NA
1038	White	NA
2648	White	1
2832	White	1
15368	White	NA
3277	White	NA
14892	White	NA
3974	White	NA
5611	White	NA
13888	White	1
3356	White	NA
11831	White	1
1552	White	1
5018	White	NA
12195	White	NA
17236	White	1
13140	White	NA
6856	White	NA
19954	White	NA
15624	White	1
4632	White	NA
4698	White	1
11885	White	1
9472	White	NA
19829	White	NA
21204	White	1
22236	White	NA
11199	White	1
21034	White	1
13747	White	NA
12784	White	NA
7618	White	1
10036	White	1
1720	White	1
17630	White	NA
22783	White	NA
15486	White	NA
18212	White	NA
1440	White	NA
6729	White	NA
16082	White	NA
7999	White	NA
6000	White	NA
21969	White	1
155	White	1
12545	White	NA
8251	White	NA
4703	White	NA
17119	White	NA
7947	White	NA
16145	White	NA
13414	White	1
11154	White	NA
19446	White	NA
7604	White	NA
2956	White	NA
22177	White	1
6419	White	NA
42	White	1
13998	White	1
6571	White	NA
21702	White	1
14467	White	NA
2971	White	NA
13275	White	1
10640	White	NA
18848	White	1
16163	White	NA
17798	White	NA
18618	White	NA
15353	White	1
9315	White	NA
13339	White	NA
4509	White	1
205	White	1
19798	White	NA
12622	White	NA
20020	White	1
19680	White	NA
5297	White	1
514	White	1
2121	White	1
21890	White	NA
22397	White	1
16125	White	1
13594	White	1
1751	White	1
16981	White	1
14123	White	1
15303	White	1
16460	White	NA
18201	White	1
19091	White	NA
21993	White	NA
15258	White	NA
19453	White	NA
9676	White	1
21782	White	NA
2931	White	NA
19371	White	1
9665	White	NA
5537	White	NA
13805	White	NA
22291	White	1
1531	White	NA
7183	White	NA
20721	White	NA
2286	White	NA
21053	White	1
12447	White	NA
2430	White	1
20979	White	NA
5789	White	NA
9552	White	NA
1874	White	NA
16397	White	1
3218	White	NA
8321	White	NA
3663	White	NA
20815	White	NA
22974	White	1
19237	White	1
13990	White	1
15880	White	NA
17021	White	NA
12606	White	NA
14644	White	NA
22217	White	NA
10698	White	1
1568	White	NA
16861	White	1
6675	White	NA
19476	White	NA
12617	White	1
12020	White	1
10190	White	NA
2660	White	NA
11419	White	1
6229	White	NA
18406	White	1
3740	White	NA
6048	White	NA
12199	White	NA
22955	White	NA
17888	White	NA
16836	White	NA
13771	White	NA
19709	White	NA
2173	White	1
6040	White	1
12714	White	NA
17349	White	NA
239	White	1
18199	White	NA
20701	White	NA
12185	White	1
18312	White	NA
8950	White	1
3726	White	NA
12679	White	1
6631	White	NA
13175	White	1
6597	White	NA
17998	White	1
9441	White	NA
10380	White	NA
1668	White	NA
8801	White	1
9088	White	1
19555	White	NA
3332	White	NA
18183	White	NA
9232	White	1
18076	White	1
11372	White	NA
20420	White	1
415	White	1
3975	White	NA
14605	White	NA
4411	White	1
19392	White	1
19214	White	NA
9608	White	1
14339	White	NA
12201	White	1
17753	White	NA
19630	White	NA
21679	White	1
7686	White	NA
22301	White	1
2551	White	NA
8120	White	1
22579	White	NA
3551	White	1
14481	White	NA
15363	White	NA
12444	White	1
2585	White	NA
9840	White	NA
2809	White	1
21016	White	1
11810	White	1
21875	White	NA
1120	White	NA
17422	White	NA
11171	White	NA
4286	White	1
11264	White	NA
14703	White	NA
19017	White	NA
2261	White	NA
4744	White	1
9238	White	1
5468	White	NA
9972	White	1
